County,YEAR,Milk_Unit_price_Kshs,Pork_Unit_price_Kshs,Wool_Unit_price_Kshs,Dairy_Cattle,Beef_Cattle,Wool_sheep,Hair_sheep,Dairy_Goats,Meat_Goats,Donkeys,Camels,Log_Hives,Langstroth_Hives,Box_hives,Cab_hives,Turkeys,Ducks,Geese,Guinea_fowl,Pigeons,Doves,Quails,Ostrich,pigs,Rabbits,Chicken_Broilers,Chicken_layers,Chicken_Indigenous,Honey_kg,Wax_kg,Eggs_Trays,Hides_No,Skins_No,Camel_meat_kg,Camel_meat_Unit_price_Kshs,Camel_meat_Total_value_Kshs,Honey_Kgs,Honey_Kgs_Unit_price_Kshs,Honey_Kgs_Total_value_Kshs,Hides,Hides_Unit_price_Kshs,Hides_Total_value_Kshs,Skins,Skins_Unit_price_Kshs,Skins_Total_value_Kshs,Milk_kg,Milk_Total_value_Kshs,Beef_kg,Beef_Unit_price_Kshs,Beef_Total_value_Kshs,Mutton_kg,Mutton_Unit_price_Kshs,Mutton_Total_value_Kshs,Pork_kg,Pork_Total_value_Kshs,Rabbit_meat_kg,Rabbit_Unit_price_Kshs,Rabbit_Total_value_Kshs,Poultry_meat_kg,Poultry_Unit_price_Kshs,Poultry_Total_value_Kshs,Wool_kg,Wool_Total_value_Kshs,chevon_kg,chevon_Unit_price_Kshs,chevon_Total_value_Kshs
Baringo,2021,40,400,40,"148,211","373,807","15,509","527,622","6,360","953,741","9,062","13,464","152,518","3,202",NA,,"1,250","2,373",NA,104,NA,"1,709",NA,NA,253,"3,772","42,714","46,806","1,043,032","773,394","138,648","21,427,197","14,279","64,027","116,985",400,"46,794,000","882,385",600,"529,431,000","116,985",400,"46,794,000","882,385",600,"529,431,000","34,218,882","1,368,755,280","2,228,672",400,"891,468,688","323,633",500,"161,816,500","4,182","1,672,800","1,933",350,"676,550","411,167",500,"205,583,500","34,218,882","1,368,755,280","2,228,672",400,"891,468,688"
Baringo,2022,51,400,20,"145,919","361,753","16,052","361,179","6,526","937,081","5,002","13,249","152,607","3,454",NA,,446,"1,955",152,NA,NA,"1,426",0,22,329,"5,155","21,392","37,163","1,012,570",,,,,,"127,037",500,"63,518,500","970,623",600,"582,373,800","11,618",200,"2,323,600","107,111",50,"5,355,550","37,640,770","1,913,405,808","2,562,973",600,"1,537,783,800","388,359",700,"271,851,300","1,680","672,000","1,546",330,"510,312","414,281",207,"85,618,073","1,236","24,720","1,762,579",700,"1,233,805,300"
Baringo,2023,0,0,0,"147,496","383,626","18,439","380,921","7,743","1,046,051","4,443","19,263","165,939","3,819",5,,270,"1,303",227,568,165,,15,,350,"6,503","15,906","31,173","1,251,753",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bomet,2021,40,550,40,"320,264","7,639","84,567","81,305","79,548","71,436","10,227",NA,NA,"4,594",NA,,"1,929","2,007",331,NA,NA,NA,NA,NA,309,"6,302","13,439","91,701","883,494","342,208","85,552","39,839,808","16,920","20,400",NA,,NA,"347,342","1,000","347,342,000",NA,,NA,"347,342","1,000","347,342,000","128,963,790","5,158,551,600","117,088",450,"52,689,600","307,532",500,"153,766,000","13,550","7,452,500","7,136",350,"2,497,600","1,280,374",650,"832,243,100","128,963,790","5,158,551,600","117,088",450,"52,689,600"
Bomet,2022,42,600,30,"325,070","7,791","86,682","75,365","81,138","72,507","10,415",NA,NA,"4,869",NA,,"2,036","2,129","2,210",NA,NA,NA,0,0,358,"6,491","13,581","93,993","924,125",,,,,,,,NA,"650,698","1,000","650,698,000",,200,NA,,20,NA,"130,899,083","5,497,761,486","198,671",500,"99,335,250","4,584,309",700,"3,209,016,300","30,461","18,276,600","7,020",350,"2,457,000","1,574,412",433,"682,245,200","3,250","97,500","4,315,409",700,"3,020,786,300"
Bomet,2023,0,0,0,"329,946","7,947","88,850","77,249","82,762","73,594","9,895",,,"4,918",,,"2,056","2,172","2,255",,,,,,358,"6,685","13,851","96,343","961,090",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bungoma,2021,55,350,0,"149,227","267,138",NA,"135,409","7,461","124,792","12,457",NA,"6,678","8,123",30,,"27,611","47,041","15,843","3,151","22,096",NA,NA,5,"19,700","46,499","18,162","54,374","2,946,302","388,962","28,375","3,195,622","19,559","10,798",,,NA,"382,264",794,"303,687,511",NA,,NA,NA,,NA,"98,601,604","5,410,763,020","2,379,200",359,"853,868,444","2,519,640",468,"1,178,631,717","470,279","164,597,650","19,685",453,"8,924,084","1,227,316",411,"504,563,438",NA,NA,"845,645",600,"507,387,000"
Bungoma,2022,67,502,100,"167,921","271,528","1,312","134,812","6,763","139,933","12,399",NA,"6,302","8,560",NA,,"27,710","47,116","15,949","3,002","13,976",NA,196,5,"19,917","45,961","21,334","54,027","2,929,869",,,,,,,,NA,"1,623,264","1,000","1,623,264,000","78,582","1,200","94,298,400","66,400",100,"6,640,000","87,682,416","5,845,494,400","6,545,685",502,"3,287,388,467","498,169",639,"318,274,639","8,249,399","4,143,031,498","99,063",413,"40,946,040","10,537,864",452,"4,761,553,363","3,060","306,000","504,905",644,"325,383,222"
Bungoma,2023,0,0,0,"183,783","288,165","1,360","141,092","6,939","151,910","12,754",,"6,477","9,799",,,"30,975","50,459","16,403","4,137","20,211",2,302,,"18,227","40,541","21,982","56,634","3,123,769",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Busia,2021,67,351,0,"36,969","268,119",NA,"45,012","2,520","98,794",285,NA,459,"3,794",NA,,"6,297","26,912","3,218","3,936","6,894",NA,767,NA,"78,746","5,335","11,624","42,824","1,866,576","69,803","4,188","1,499,073","7,936","26,800",,,NA,"94,990","1,000","94,990,000","4,000",150,"600,000",NA,,NA,"55,012,837","3,693,719,056","3,441,932",440,"1,514,450,080","97,775",497,"48,608,143","2,897,959","1,018,425,591","1,201",493,"591,921","4,181,124",514,"2,150,292,343",NA,NA,"331,213",400,"132,485,200"
Busia,2022,67,430,0,"37,553","271,349",NA,"46,560","2,560","102,303",291,NA,375,"3,868",NA,NA,"6,429","28,383","3,209","3,965","7,121",NA,775,,"81,894","5,442","11,851","43,681","1,756,621",,,,,,,,NA,"82,259",871,"71,682,843","17,271",156,"2,694,276","12,357",30,"370,710","56,934,440","3,822,740,971","3,469,611",500,"1,734,805,500","103,772",586,"60,780,743","4,474,080","1,923,854,400",655,557,"364,929","4,231,717",312,"1,319,892,683",,NA,"224,968",621,"139,801,543"
Busia,2023,0,0,0,"35,976","269,917",,"49,415","2,586","106,330",311,,733,"4,100",,,"6,723","34,133","3,212","4,877","7,264",,786,,"86,220","5,461","13,005","60,780","1,739,979",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elgeyo_Marakwet,2021,75,475,75,"281,015","170,631","212,434","216,471","1,533","425,125","4,030",82,"47,586","1,485",NA,,789,"5,294","1,630",NA,NA,NA,NA,NA,189,"2,463","2,239","16,263","720,544",,,,,,"3,891",480,"1,867,680","364,653",600,"218,791,800","3,891",480,"1,867,680","364,653",600,"218,791,800","62,096,875","4,657,265,625","639,488",640,"409,272,320","284,760",700,"199,332,000","2,229","1,058,775","1,312",350,"459,200","1,338,003",700,"936,602,100","62,096,875","4,657,265,625","639,488",640,"409,272,320"
Elgeyo_Marakwet,2022,50,550,240,"289,220","128,655","213,141","219,896","1,533","425,125","4,097",557,"47,492","2,628",,,828,"5,467","1,630",,,,,0,217,"2,488","2,478","16,263","699,017",,,,,,"5,837",700,"4,085,550","291,722",750,"218,791,500","5,394",300,"1,618,200","28,117",100,"2,811,700","63,338,812","3,166,940,615","652,278",650,"423,980,570","298,999",750,"224,249,250","2,273","1,250,150","1,248",350,"436,800","2,639,804",467,"1,231,908,533","284,240","68,217,480","1,765,408",750,"1,324,056,000"
Elgeyo_Marakwet,2023,0,0,0,"280,385","124,729","220,875","222,819","2,485","374,383","3,886",557,"37,994","3,022",334,,828,"5,467","1,646",578,56,399,,,635,"2,562","4,054","20,209","675,814",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Embu,2021,35,500,35,,,,,,,,,,,,,,,,,,,,,,,,,,"1,331,040","13,310","1,781,846",NA,"956,851",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Embu,2022,55,500,0,"133,160","213,215",NA,"56,505","48,708","329,146","11,733",4,"43,103","7,215",800,,"1,625","6,423","2,094",976,NA,"2,007",0,6,"27,857","30,731","25,323","69,323","773,714",,,,,,,,NA,"749,626",800,"599,700,800",,,NA,,,NA,"111,285,171","6,120,684,405","2,685,188",600,"1,611,112,500","130,318",600,"78,190,800","1,037,988","518,994,000","17,465",600,"10,479,000","556,327",350,"194,714,450",,NA,"587,091",800,"469,672,800"
Embu,2023,0,0,0,"134,493","200,678",,"57,919","49,927","337,374",6,"11,851","43,427","7,478",816,,"1,634","6,521","2,105",984,,"2,108",,,"28,833","31,192","25,622","70,363","629,057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garissa,2021,60,0,15,268,"1,337,617",NA,"1,154,202",129,"2,374,679","218,342","714,304","1,623","2,758",NA,,3,20,NA,NA,NA,NA,NA,NA,NA,10,"5,856","20,780","582,454",NA,NA,"405,643",NA,NA,"1,151,800",500,"575,900,000","29,500","1,000","29,500,000","9,272",250,"2,317,985","27,124",200,"5,424,870","997,850","59,871,000","214,000",500,"107,000,000","311,453",600,"186,871,800",NA,NA,NA,,NA,"9,415","1,000","9,415,000","451,710","6,775,650","247,560",620,"153,487,200"
Garissa,2022,70,0,0,136,"1,614,529",NA,"1,036,163",133,"1,924,595","134,422","491,280",227,534,162,NA,13,35,NA,NA,NA,NA,127,30,NA,141,"198,000","126,456","242,880",,,,,,"1,151,800","1,000","1,151,800,000","29,500","1,000","29,500,000","4,000",150,"600,000",,,NA,"217,070,432","15,194,930,241","214,000","1,000","214,000,000","311,453","1,200","373,743,600",,NA,,,NA,"9,415",600,"5,649,000",,NA,"913,645","1,200","1,096,374,000"
Garissa,2023,0,0,0,"399,105","1,153,105",,"1,036,163",267,"1,924,595","134,422","491,280",227,534,162,,24,47,,,87,,127,,,141,"204,000","129,456","261,150",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Homa Bay,2021,83,450,100,"12,836","350,795",NA,"260,573","4,567","511,637","12,320",NA,NA,"11,743",NA,,826,"5,816","1,340",684,"1,808",NA,786,NA,"13,918","3,956","4,200","15,975","3,928,977","368,715","36,872","2,756,427",NA,NA,,,NA,"110,208",925,"101,942,400","43,229",35,"1,513,015","11,392",75,"854,400","20,646,032","1,703,297,640","4,427,476",449,"1,986,829,855","531,278",531,"282,241,438","476,982","214,641,900","2,864",600,"1,718,400","1,396,490",670,"935,648,300","16,000","1,600,000","975,000",483,"471,250,000"
Homa Bay,2022,85,531,0,"11,308","369,827",NA,"283,398","4,844","516,832","10,082",NA,NA,"12,638",NA,NA,885,"5,666","1,425","1,691","2,166",10,924,0,"14,401","4,150","5,200","17,455","4,144,501",,,,,,,,NA,"119,189",950,"113,229,550","15,340",500,"7,670,000","8,011",100,"801,100","22,502,846","1,912,741,910","4,046,521",513,"2,073,842,013","669,313",556,"372,305,356","694,161","368,773,031","3,647",625,"2,279,375","4,792,838",413,"1,977,045,675",,NA,"1,108,430",594,"658,130,313"
Homa Bay,2023,0,0,0,"12,203","385,137",,"297,464","5,147","552,109","10,354",,,"15,617",,,933,"6,138","1,539","1,765","2,283",15,962,,"15,497","4,328","4,856","18,558","4,600,514",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isiolo,2021,97,400,0,"11,155","274,055",NA,"1,009,385","1,252","1,111,246","38,174","307,011","3,675","6,081",111,,66,110,177,242,144,NA,NA,13,346,556,"11,147","17,100","70,252","4,895",490,"126,454","5,925","95,120","2,158,444",400,"863,377,632","238,988",633,"151,358,769","16,596",200,"3,319,120","97,373",50,"4,868,650","51,805,621","5,007,876,710","1,728,607",400,"691,442,829","2,452,806",500,"1,226,402,775","11,630","4,652,176",368,300,"110,259","160,339",467,"74,824,997",NA,NA,"231,922",600,"139,153,200"
Isiolo,2022,77,500,0,"6,442","158,267",NA,"817,602","1,014","1,009,950","38,140","157,782","3,749","6,203",113,,69,116,186,254,151,NA,0,15.84,339,625,"12,237","19,549","79,873",,,,,,"1,482,146",533,"790,477,867","891,767",850,"758,001,950",30,,NA,50,,NA,"85,200,483","6,532,037,030","1,058,942",533,"564,769,067","1,986,773",717,"1,423,853,983","1,602","801,000",404,533,"215,467","205,555",400,"82,222,000",,NA,"1,834,732",717,"1,314,891,267"
Isiolo,2023,0,0,0,"6,764","166,184",,"883,010","1,255","1,090,745","39,283","162,516","3,960","6,860",113,,120,234,326,324,220,,,,476,824,"14,539","29,068","105,077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kajiado,2021,90,450,0,"133,226","652,856",NA,"1,244,854","3,332","1,177,771","39,344","2,550",993,"8,667",579,,"1,300","1,980",950,630,NA,150,100,"1,200","47,839","14,807","850,817","141,182","297,372","194,442","15,389","10,028,064","20,075","25,550","39,980",500,"19,989,750","326,727","1,000","326,726,600","169,295",58,"9,849,891","144,161",28,"3,997,191","56,394,418","5,075,497,619","6,152,588",550,"3,383,923,125","3,054,006",600,"1,832,403,825","399,457","179,755,758","7,382",900,"6,643,834","1,037,634","1,000","1,037,633,826",NA,NA,"68,256",450,"30,715,200"
Kajiado,2022,90,650,0,"126,565","328,138",NA,"814,402","3,232","1,045,810","38,164","2,665",941,"9,500",608,NA,"1,339","2,039",979,649,NA,152,70,1140,"8,779","8,788","273,370","153,542","327,109",,,,,,,,NA,"244,250","1,000","244,250,000","21,450",300,"6,435,000","46,414",60,"2,784,840","91,808,540","8,262,768,600","4,730,001",700,"3,311,000,700","2,878,962",800,"2,303,169,600","1,724,285","1,120,785,250","4,709","1,000","4,709,000","439,580",383,"168,505,667",,NA,"3,100,257",800,"2,480,205,600"
Kajiado,2023,0,0,0,"137,500","378,400",,"959,654","3,453","1,033,419","40,102","2,653",993,"9,602",584,,"1,347","2,032",980,653,,158,100,,"51,318","15,694","1,004,948","156,617","324,284",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kakamega,2021,65,382,0,,,,,,,,,,,,,,,,,,,,,,,,,,"1,557,668","23,256","3,106,373","36,146","21,639",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kakamega,2022,65,385,0,"184,402","300,182",450,"83,542","9,597","117,830","6,740",NA,"4,319","25,398",816,1,"18,684","56,871","12,598","10,621","21,581","7,354",13472,,"76,228","59,944","341,539","416,467","2,159,640",,,,,,,,NA,"626,964",867,"543,368,800","33,154",88,"2,900,975","19,355",67,"1,299,550","140,118,351","9,107,692,788","6,625,132",453,"2,997,872,230","198,228",524,"103,904,510","499,181","192,184,685","18,002",347,"6,249,266","2,293,174",348,"798,094,042",,NA,"148,728",554,"82,420,100"
Kakamega,2023,0,0,0,"106,845","320,621",450,"86,038","10,074","119,461","2,413",9,"4,394","27,293",411,,"19,241","59,260","12,955","12,131","22,760","2,698","12,364",,"83,299","61,721","344,492","434,247","3,445,882",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kericho,2021,50,400,50,"262,933","107,072","11,609","50,458","1,893","75,767","14,211",NA,"6,746","2,264",NA,,590,"4,506","3,307",NA,NA,NA,NA,NA,"1,297","6,740","8,553","48,195","507,789","160,792","2,740","2,331,581","27,797","11,148",,,NA,"164,008","1,000","164,007,840",,,NA,"164,008","1,000","164,007,840","183,750,000","9,187,500,000","4,381,091",500,"2,190,545,700","121,769",500,"60,884,330","3,981","1,592,304",NA,400,NA,NA,600,NA,"183,750,000","9,187,500,000","4,381,091",500,"2,190,545,700"
Kericho,2022,40,500,100,"276,080","109,213","11,725","50,963","1,988","79,555","13,500",NA,"6,544","2,377",NA,,566,"4,371","3,175",NA,NA,NA,0,0,"1,258","6,605","8,296","46,749","497,633",,,,,,,,NA,"902,064",783,"706,616,643","63,648",25,"1,591,200","132,600",25,"3,315,000","195,174,022","7,806,960,884","1,591,200",500,"795,600,000","131,040",633,"82,992,000","1,415","707,500",683,400,"273,200","251,866",333,"83,955,233","4,715","471,500","381,888",633,"241,862,400"
Kericho,2023,0,0,0,"281,601","111,398","12,195","53,001","2,068","82,737","15,000",,"12,139","1,562",,,608,"4,641","3,406",,,,,,"1,322","6,874","8,810","49,641","505,099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiambu,2021,48,300,0,"265,809","32,088","41,614","90,573","14,583","71,468","8,410",NA,"1,490","5,399",40,,"4,402","10,846","3,500",594,NA,NA,NA,NA,"107,426","25,905","448,301","1,621,731","1,238,659","110,468","11,048","10,760,687","101,504","78,312",,,NA,"110,468",800,"88,374,073","12,396",400,"4,958,400","10,301",80,"824,080","356,959,419","17,134,052,107","731,617",280,"204,852,735","492,290",300,"147,686,927","5,376,647","1,612,994,198","21,543",250,"5,385,681","2,234,012",450,"1,005,305,516",NA,NA,"299,492",600,"179,694,955"
Kiambu,2022,47,350,70,"271,125","30,484","41,016","90,261","15,260","73,553","7,408",NA,"1,456","5,561",110,NA,"4,446","10,954","3,500",906,NA,NA,0,0,"118,168","25,646","533,562","1,687,680","1,275,818",,,,,,,,NA,"110,468",800,"88,374,160","145,831",525,"76,561,275","79,577",70,"5,570,390","380,739,083","17,863,008,653","762,073",400,"304,829,240","485,786",450,"218,603,700","4,399,075","1,539,676,285","21,543",500,"10,771,350","2,040,838",450,"918,377,145","22,208","1,554,539","212,260",450,"95,517,090"
Kiambu,2023,0,0,0,"273,836","29,875","40,197","88,457","15,182","70,752","6,667",,"1,455","5,561",110,,"4,360","10,740","3,466",590,,,,,"96,682","25,135","439,334","1,605,513","1,339,610",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kilifi,2021,60,800,0,"53,448","176,443",NA,"38,461","3,105","251,266","1,011",39,"3,058","7,125",160,,"6,147","74,954","7,118","3,885",20,NA,"1,258",152,"2,588","2,325","122,295","70,525","651,120","13,660","1,361","856,322",NA,NA,NA,,NA,"191,270",700,"133,889,000","119,318",20,"2,386,360","37,002",10,"370,020","25,425,680","1,525,540,770","4,990,370",400,"1,996,148,000","2,049,714",450,"922,371,300","167,040","133,632,000","4,321",500,"2,160,600","13,539,323",600,"8,123,593,536",NA,NA,"2,524,518",700,"1,767,162,600"
Kilifi,2022,0,0,0,"20,240","226,835",NA,"59,300","3,101","569,365","2,888","2,117","3,701","7,801",161,20,"5,067","82,981","3,211","8,658",NA,NA,0,16000,"3,480","3,601","1,321,618","78,855","688,040",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kilifi,2023,0,0,0,"31,993","236,893",,"68,084","3,480","473,290",767,"2,490","6,033","8,517",183,,"6,299","84,654","10,661","8,168",,558,340,,"2,766","5,123","227,010","82,056","702,740",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kirinyaga,2021,47,500,47,"86,314","40,465",NA,"18,967","18,440","53,005","6,147",NA,"4,246","5,785",220,,620,"7,611","7,068",897,NA,NA,NA,NA,"19,995","26,253","235,901","89,363","763,303","188,445","30,129","1,129,363","12,678","13,561",NA,450,NA,"337,442",900,"303,697,800",NA,450,NA,"337,442",900,"303,697,800","62,944,093","2,958,372,371","2,732,160",500,"1,366,080,000","28,476",600,"17,085,600","756,000","378,000,000","17,630",450,"7,933,500","714,653",600,"428,791,800","62,944,093","2,958,372,371","2,732,160",500,"1,366,080,000"
