County,YEAR,Milk_Unit_price_Kshs,Pork_Unit_price_Kshs,Wool_Unit_price_Kshs,Dairy_Cattle,Beef_Cattle,Wool_sheep,Hair_sheep,Dairy_Goats,Meat_Goats,Donkeys,Camels,Log_Hives,Langstroth_Hives,Box_hives,Cab_hives,Turkeys,Ducks,Geese,Guinea_fowl,Pigeons,Doves,Quails,Ostrich,pigs,Rabbits,Chicken_Broilers,Chicken_layers,Chicken_Indigenous,Honey_kg,Wax_kg,Eggs_Trays,Hides_No,Skins_No,Camel_meat_kg,Camel_meat_Unit_price_Kshs,Camel_meat_Total_value_Kshs,Honey_Kgs,Honey_Kgs_Unit_price_Kshs,Honey_Kgs_Total_value_Kshs,Hides,Hides_Unit_price_Kshs,Hides_Total_value_Kshs,Skins,Skins_Unit_price_Kshs,Skins_Total_value_Kshs,Milk_kg,Milk_Total_value_Kshs,Beef_kg,Beef_Unit_price_Kshs,Beef_Total_value_Kshs,Mutton_kg,Mutton_Unit_price_Kshs,Mutton_Total_value_Kshs,Pork_kg,Pork_Total_value_Kshs,Rabbit_meat_kg,Rabbit_Unit_price_Kshs,Rabbit_Total_value_Kshs,Poultry_meat_kg,Poultry_Unit_price_Kshs,Poultry_Total_value_Kshs,Wool_kg,Wool_Total_value_Kshs,chevon_kg,chevon_Unit_price_Kshs,chevon_Total_value_Kshs
Nakuru,2021,46,455,46,"435,638","173,898","239,815","415,731","31,452","248,587","25,423",100,"25,337","4,868","2,823",,"14,828","15,451","13,927",120,NA,NA,NA,2,"21,277","72,924","159,787","321,699","1,484,746","520,907","27,229","3,764,722","82,289","106,869",NA,,NA,"609,204",568,"345,723,270",NA,,NA,"609,204",568,"345,723,270","287,005,459","13,228,342,538","5,656,370",456,"2,581,361,354","2,100,550",535,"1,122,839,455","333,688","151,828,040","23,874",232,"5,534,311","3,125,566",482,"1,505,954,431","287,005,459","13,228,342,538","5,656,370",456,"2,581,361,354"
Nakuru,2022,48,500,49,"449,120","251,916","239,501","428,600","40,742","210,363","25,849",4,"27,040","6,064",710,,"14,897","15,403","14,320",160,56,240,50,14,"22,675","56,711","145,778","287,019","1,505,531",,,,,,,,NA,"813,606",640,"520,707,840","214,052",85,"18,097,124","194,683",56,"10,884,550","318,978,431","15,223,970,570","4,242,880",517,"2,192,797,269","2,699,731",582,"1,570,752,727","361,310","180,654,750","30,812",340,"10,475,910","4,659,375",296,"1,377,104,226","193,094","9,378,842","927,027",582,"539,361,164"
Nakuru,2023,0,0,0,"466,779","251,150","259,503","537,937","47,593","298,170","21,490",,"27,861","6,944",319,,"15,803","17,755","15,286",NA,NA,NA,NA,,"27,517","66,376","164,613","301,737","1,559,545",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nandi,2021,41,400,41,"176,610","71,537","10,615","92,279","3,811","32,816","4,249",NA,"1,524","6,729",NA,,411,537,NA,NA,NA,NA,NA,NA,880,"4,033","25,614","72,909","673,888","109,104","12,789","818,583","9,201","23,944",NA,,NA,"149,325",700,"104,527,589","1,253,072",173,"217,272,842","1,734,934",50,"86,848,933","166,582,405","6,885,406,072","1,395,262",500,"697,630,750","283,322",600,"169,993,445","18,184","7,273,728",523,400,"209,104","354,876",600,"212,925,457","166,582,405","6,885,406,072","1,395,262",500,"697,630,750"
Nandi,2022,44,450,0,"179,437","71,040","10,324","93,743","3,542","29,356","4,249",NA,"1,588","7,142",NA,NA,377,511,379,496,NA,NA,0,0,984,"3,734","20,982","58,328","539,107",,,,,,,,NA,"238,266",700,"166,786,200","9,484",200,"1,896,800","42,832",200,"8,566,400","190,457,736","8,443,626,296","1,426,465",592,"843,991,673","357,061",650,"232,089,650","20,412","9,185,400",587,400,"234,800","395,286",517,"204,231,100",,NA,"60,541",650,"39,351,650"
Nandi,2023,0,0,0,"182,667","72,882","10,413","102,002","3,606","31,339","4,588",,"1,752","8,088",,,397,549,399,"2,451",,,,,"1,105","4,197","23,542","62,523","547,042",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Narok,2021,50,500,50,"96,197","1,430,352","72,086","2,596,824","4,854","995,861","85,657",NA,"25,268","4,902",NA,,282,830,369,100,28,NA,NA,NA,"2,191","3,915","4,460","53,290","704,844","523,946","52,395","29,242,505","21,218","51,104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Narok,2022,45,600,180,"99,082","1,401,745","72,743","2,622,793","4,902","995,616","86,941",NA,"24,267","4,950",411,,304,869,391,128,41,21,0,0,"2,365","3,954","4,717","55,649","721,349",,,,,,,,NA,"49,699",600,"29,819,400","7,598",375,"2,849,250","96,457",60,"5,787,420","111,173,488","5,002,806,960","32,170,042",600,"19,302,024,900","3,477,823",700,"2,434,476,100","111,602","66,961,200","1,199",400,"479,600","695,163",367,"254,893,100","25,957","4,672,260","1,024,465",700,"717,125,500"
Narok,2023,0,0,0,"101,940","1,387,727","73,196","2,649,020","4,927","956,090","87,810",,"23,781","5,098",424,,309,878,394,150,52,28,,,"2,530","3,994","5,001","58,987","768,238",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nyamira,2021,60,400,60,"35,662","87,062",NA,"12,749","1,287","41,513",NA,NA,254,"2,538",309,,586,612,381,NA,NA,NA,NA,NA,"1,424","2,939","10,574","66,375","489,836","93,632","8,166","764,289","3,307","5,964",NA,,NA,"85,787","1,000","85,786,750",NA,,NA,"85,787","1,000","85,786,750","22,431,108","1,345,866,476","1,075,719",500,"537,859,700","61,970",500,"30,985,000","56,370","22,547,840",845,400,"337,952","903,249",800,"722,598,968","22,431,108","1,345,866,476","1,075,719",500,"537,859,700"
Nyamira,2022,54,0,0,"36,018","87,933",NA,"12,877","1,301","41,929",750,NA,259,"2,588",315,,592,617,385,633,53,334,364,0,"1,438","2,968","10,680","67,039","494,733",,,,,,,,NA,"134,831","1,000","134,831,000","7,833",100,"783,300","19,567",50,"978,350","37,251,274","2,011,568,796","1,182,440",600,"709,464,180","63,223",700,"44,256,100",,NA,"2,350",400,"940,000","774,899",600,"464,939,400",,NA,"205,818",800,"164,654,400"
Nyamira,2023,0,0,0,"36,380","88,814",320,"13,137","1,361","42,767",758,,261,"2,614",318,,598,622,389,639,54,337,368,,"1,510","3,116","10,787","67,709","499,680",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nyandarua,2021,46,530,46,"358,100","35,800","283,000","193,000","17,280","65,400","10,040",7,"11,320","4,010",NA,,"7,080","7,500","8,540",15,NA,NA,NA,3,"6,200","40,700","46,500","28,500","558,200","169,555","16,956","556,493","12,239","51,136",,,NA,"281,797",800,"225,437,600",,,NA,"281,797",800,"225,437,600","245,596,375","11,297,433,250","5,475,050",540,"2,956,527,000","1,775,750",620,"1,100,965,000","146,985","77,902,050","43,110",600,"25,866,000","875,042",660,"577,527,720","245,596,375","11,297,433,250","5,475,050",540,"2,956,527,000"
Nyandarua,2022,42,600,20,"366,740","38,380","309,180","207,470","18,965","72,040","10,148",8,"10,850","5,820",670,,"9,542","10,855","11,371",NA,NA,250,0,0,"7,000","45,353","40,190","29,370","694,060",,,,,,,,NA,"309,120",800,"247,296,000",,,NA,,,NA,"296,834,640","12,467,054,880","4,730,300",600,"2,838,180,000","1,532,275",800,"1,225,820,000","307,080","184,248,000","47,470",500,"23,735,000","499,030",433,"216,246,333","1,020,000","20,400,000","164,880",800,"131,904,000"
Nyandarua,2023,0,0,0,"385,200","40,300","340,200","228,300","20,900","79,500","8,420",,"10,850","6,178",670,,"9,940","12,220","12,720",10,,560,,,"8,530","56,550","44,000","35,100","832,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nyeri,2021,47,500,47,,,,,,,,,,,,,,,,,,,,,,,,,,"6,370",10,"853,760","16,120","78,715",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nyeri,2022,43,606,0,"196,199","3,904","24,637","150,637","60,429","71,813",801,,"3,043","6,971",871,,"1,994","2,335","2,034",284,55,NA,0,8,"14,029","33,356","56,838","69,676","771,360",,,,,,,,NA,"6,170",925,"5,707,250","28,865",50,"1,443,250","85,338",100,"8,533,800","112,462,901","4,864,020,460","1,373,380",600,"824,028,000","429,040",688,"294,965,000","258,710","156,842,938","3,595",613,"2,201,938","667,370",425,"283,632,250",,NA,"244,185",694,"169,403,344"
Nyeri,2023,0,0,0,"188,500","2,200","5,290","156,560","53,195","73,990",739,,"2,880","7,040",390,,"2,020","1,795","1,930",355,255,60,65,,"13,115","28,680","186,800","117,490","781,940",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samburu,2021,90,533,100,"8,076","305,736",NA,"651,787","2,045","824,074","30,770","54,063","12,847","2,870",1,,66,94,51,38,153,NA,NA,NA,309,423,"1,644","3,495","97,669","76,823","25,607","88,759","19,519","66,791","326,088",433,"141,304,800","183,035",900,"164,731,320","27,797",200,"5,559,400","11,148",75,"836,100","27,104,527","2,439,407,432","4,345,416",433,"1,883,013,708","997,232",533,"531,857,280","22,680","12,096,000",6,700,"4,004","133,425",600,"80,054,820","137,781","13,778,132","1,468,813",500,"734,406,500"
Samburu,2022,80,600,0,"5,455","289,058",NA,"554,018","3,393","741,666","18,874","54,348","13,489","3,012",1,NA,68,100,55,40,160,NA,0,0,672,286,"1,398","3,179","155,993",,,,,,"750,223",600,"450,133,500","194,505",700,"136,153,430","14,995",15,"224,925","129,620",14,"1,814,680","65,503,819","5,240,305,528","5,172,848",600,"3,103,708,800","1,578,951",800,"1,263,161,040","36,828","22,096,800",11,700,"7,700","190,928",433,"82,735,293",,NA,"1,820,298",800,"1,456,238,480"
Samburu,2023,0,0,0,"6,001","274,606",,"526,317","3,732","606,766","20,761","60,018","14,164","3,112",1,,71,105,58,42,168,,,,744,343,"1,538","3,497","171,592",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siaya,2021,69,418,0,"10,565","434,559",NA,"196,906","8,362","567,956","9,593",NA,230,"12,463",NA,,"4,024","7,715","1,905","1,924",NA,612,"3,819",NA,"18,723","17,055","134,007","101,981","1,181,280","380,112","27,716","1,549,132","26,125","70,900",NA,,NA,"435,360",967,"420,848,000",,,NA,,,NA,"35,538,787","2,458,099,453","9,843,073",495,"4,872,321,185","445,868",517,"230,365,237","879,450","367,903,083","3,081",533,"1,643,200","1,885,187",500,"942,593,324",NA,NA,"1,462,132",445,"650,648,740"
Siaya,2022,75,453,0,"11,561","469,956",NA,"211,090","9,199","376,537","10,263",4,227,"14,373",NA,NA,"4,427","8,483","2,101","2,118",NA,674,4198.4,0,"19,670","17,810","146,311","111,366","1,240,767",,,,,,,,NA,"487,786","1,033","504,045,533","32,464",300,"9,739,200","78,155",45,"3,516,975","24,989,680","1,874,226,000","4,901,246",558,"2,736,529,017","327,410",542,"177,347,083","827,643","375,198,160","9,206",533,"4,909,867","1,879,038",356,"668,102,400",,NA,"617,469",583,"360,190,250"
Siaya,2023,0,0,0,"12,568","504,124",,"227,135","9,769","402,068","11,020",9,216,"16,077",,,"4,870","9,331","2,312","2,330",,741,"4,584",,"20,260","18,522","144,020","120,798","1,278,109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taita_Taveta,2021,48,450,0,"32,136","143,213",NA,"51,885","4,158","307,896","3,228",979,"5,404","4,166",335,,644,"5,505",490,819,164,NA,NA,NA,"2,111","11,757","25,048","28,574","506,826","48,405","2,825","1,951,719","5,157","10,850",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taita_Taveta,2022,55,250,0,"32,587","149,905",NA,"63,994","6,070","346,358","3,704","1,319","5,504","5,444",555,NA,830,"9,849",681,"1,850",714,NA,0,0,"2,321","13,820","175,100","198,643","647,080",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taita_Taveta,2023,0,0,0,"32,981","158,925",,"64,096","5,221","372,333","3,894","1,242","5,494","5,684",551,,844,"11,421",725,"2,225",842,,,,"2,725","14,582","71,207","204,880","796,494",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tana_River,2021,77,500,33,,,,,,,,,,,,,,,,,,,,,,,,,,"64,136","6,414","29,506",NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tana_River,2022,77,500,0,66,"475,330",NA,"264,293",800,"832,200","25,780","67,950","11,422","7,030",91,,"25,780","67,950","11,422",464,"7,030",NA,0,0,NA,185,600,"9,700","102,548",,,,,,"175,600",600,"105,360,000","31,120",600,"18,672,000",,,NA,,,NA,"38,174,690","2,926,726,233","247,300",360,"89,028,000","95,030",400,"38,012,000",,NA,749,380,"284,620","100,640",333,"33,546,667",,NA,"331,213",400,"132,485,200"
Tana_River,2023,0,0,0,125,"515,558",NA,"320,385","1,098","908,620","27,012","71,657","14,514","8,135",125,,"23,266","9,201","11,087","1,083","7,219",,,,54,419,"2,506","9,099","110,366",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tharaka_Nithi,2021,56,457,103,"71,666","91,318",NA,"55,881","21,236","220,517","1,602",NA,"159,591","14,235",NA,,390,"2,979","1,185",219,705,420,NA,NA,"15,324","19,951","24,188","44,454","541,611","617,183","1,674","12,426,653",NA,NA,NA,,NA,"3,207,850",800,"2,566,280,000",NA,,NA,NA,,NA,"37,813,815","2,106,769,693","2,070,098",500,"1,035,049,000","123,238",600,"73,942,800","715,123","326,913,371","14,587",686,"10,002,583","853,904",686,"585,534,171","1,211,549","124,358,979","55,868,522",552,"30,857,284,502"
Tharaka_Nithi,2022,64,500,0,"73,024","88,359",NA,"54,772","21,729","203,798","5,127",NA,"157,152","14,395",NA,NA,394,"3,034","11,263",243,972,542,0,0,"15,717","20,258","24,277","43,391","515,973",,,,,,,,NA,"742,068",800,"593,654,400",,,NA,,,NA,"41,832,006","2,689,200,386","2,689,834",600,"1,613,900,400","125,811",743,"93,459,600","750,884","375,442,000","17,866",800,"14,292,800","892,494",467,"416,497,200",,NA,"386,694",743,"287,258,400"
Tharaka_Nithi,2023,0,0,0,"76,675","92,777",NA,"57,512","22,815","1,140,089","4,662",,"153,241","15,145",,,414,"3,185","11,827",275,"1,003",569,NA,,"16,503","101,271","25,491","45,660","541,772",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trans-Nzoia,2021,46,600,0,"209,628","8,025","3,877","147,504","5,811","37,959","6,490",NA,"3,948","8,051",NA,,"7,449","7,060","8,794","1,150",NA,NA,NA,NA,"7,051","4,737","20,768","94,528","1,060,459","137,839","13,784","1,278,560",NA,NA,NA,,NA,"332,654",800,"266,123,200","31,965",300,"9,589,500","75,957",45,"3,418,065","195,378,222","8,987,398,212","2,210,200",500,"1,105,100,000","598,061",550,"328,933,688","405,648","243,388,800","5,194",500,"2,597,175","1,284,744",600,"770,846,238",NA,NA,"336,685",600,"202,011,000"
Trans-Nzoia,2022,51,700,0,"210,790","8,184","4,323","155,160","6,196","39,610","6,726",NA,"4,031","8,745",NA,NA,"7,685","7,502","8,944","1,253",NA,NA,0,,"7,512","4,947","21,958","127,494","1,125,311",,,,,,,,NA,"330,400","1,000","330,400,000",,,NA,,,NA,"196,544,616","9,945,157,570","2,215,000",600,"1,329,000,000","607,103",700,"424,971,750","451,062","315,743,400","5,190",500,"2,595,100","832,114",450,"374,451,165",,NA,"118,836",750,"89,127,000"
Trans-Nzoia,2023,0,0,0,"211,168","8,379","4,570","157,324","6,527","39,612","6,019",,"4,070","10,337",,,"7,770","7,759","9,382","1,352",,,,,"8,353","4,943","23,414","262,668","1,147,425",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkana,2021,101,0,0,5,"2,508,341",,"6,585,780",,"6,973,731","3,450","7,153","2,481",NA,NA,,"11,480",490,330,500,NA,NA,NA,,327,"2,122","1,000","889,234","1,389","108,652",,"405,996",NA,NA,"8,973,920",400,"3,589,568,000","80,881","1,000","80,881,300",NA,,NA,NA,,NA,"228,626,015","23,189,210,062","38,831,525",400,"15,532,610,000","4,884,232",514,"2,511,890,537",,NA,,,NA,"572,804",650,"372,322,763",NA,NA,"3,644,366",600,"2,186,619,600"
Turkana,2022,101,800,0,,"3,106,522",,"5,426,924",324,"6,197,716","541,431","897,392","3,424","2,455",NA,"1,022","7,469","13,310",542,281,"127,933",NA,0,0,196,22,NA,"1,100","763,739",,,,,,"10,552,460",457,"4,823,981,714","97,537",971,"94,750,423",,,NA,,,NA,"281,170,578","28,518,730,034","44,989,960",429,"19,281,411,429","11,972,093",510,"6,105,767,634","10,380","8,304,000",,,NA,"778,691",474,"368,951,117",,NA,"15,114,199",524,"7,924,158,461"
Turkana,2023,0,0,0,13,"3,599,189",,"6,651,163",443,"8,060,906","542,908","1,055,246","3,656","6,018",,,"7,664","15,145",627,473,"129,243",,,,346,26,200,"2,780","1,037,758",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uasin_Gishu,2021,38,600,0,"342,857","43,174","39,476","134,385",913,"88,864","5,674",6,,"9,967","13,141",,NA,,,,,,,22,"17,251","13,787","44,261","44,261","706,702","204,433","22,931","22,985,873","27,922","78,155",NA,,NA,"155,560",700,"108,892,000","43,284",120,"5,194,064","130,612",50,"6,530,580","308,077,353","11,706,939,414","3,476,570",500,"1,738,285,000","652,175",600,"391,305,000","966,924","580,154,400","14,910",800,"11,928,000","386,318",500,"193,159,000",NA,NA,"801,373",558,"447,433,258"
Uasin_Gishu,2022,40,700,150,"347,657",NA,"39,488","134,425","1,014","90,640","7,148",7,"1,264","11,401",NA,13,748,"1,116",424,189,NA,293,0,,"17,906","14,201","43,451","350,324","792,037",,,,,,,,NA,"210,566",700,"147,396,200",,,NA,,,NA,"440,830,772","17,633,230,884","7,119,913",600,"4,271,947,800","876,262",700,"613,383,400","706,428","494,499,600","11,812","1,200","14,174,400","527,762",433,"228,696,867","42,833","6,424,950","559,844",700,"391,890,800"
Uasin_Gishu,2023,0,0,0,"349,714","43,622","40,269","141,105",913,"89,041","5,700",6,"2,461","10,018",18,,684,"1,170",927,267,,"1,032",,,"17,251","12,570","44,305","44,350","710,235",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vihiga,2021,60,450,0,"44,770","122,030",15,"4,220","8,360","4,580",120,NA,210,"3,530",NA,,"2,460","3,470","1,800","2,220",530,NA,"1,870",4,"3,300","5,050","14,000","12,500","918,300","83,910","8,391","692,115","20,240","3,328",NA,,NA,"37,490","1,000","37,490,000",NA,,NA,NA,,NA,"37,070,081","2,224,204,860","1,448,520",480,"695,289,600","11,865",550,"6,525,750","42,850","19,282,500",NA,400,NA,"676,800",600,"406,080,000",NA,NA,"1,053,612",600,"632,167,200"
Vihiga,2022,75,0,0,"45,440","118,370",NA,"4,090","7,880","4,850",55,NA,145,"3,300",NA,,"2,460","3,380","1,660","2,320",440,NA,1750,4,"3,830","3,600","6,800","8,700","900,000",,,,,,,,NA,"88,600","1,200","106,320,000",,,NA,,,NA,"37,453,490","2,809,011,750","3,240",500,"1,620,000",,,NA,,NA,,,NA,NA,NA,NA,,NA,,,NA
Vihiga,2023,0,0,0,"45,910","118,750",,"3,840","8,350","4,800",55,,120,"3,670",,,"2,940","4,060","1,994","2,760",520,,"2,100",,"3,670","5,395","8,160","10,400","924,100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wajir,2021,100,0,0,18,"893,032",NA,"2,231,725",28,"3,190,511","169,527","1,184,083",74,521,65,,NA,NA,3,NA,NA,76,NA,16,NA,NA,"6,860","9,330","494,315",,,,,,"9,983,713",406,"4,055,883,406","12,340","1,000","12,340,000",NA,,NA,NA,,NA,"237,162,418","23,716,241,800","1,227,952",400,"491,180,800","3,285,888",600,"1,971,532,800",NA,NA,NA,,NA,"265,821",438,"116,296,688",NA,NA,"50,859",600,"30,515,562"
Wajir,2022,96,0,0,18,"830,524",NA,"2,010,422",28,"2,871,713","166,142","1,148,565",74,521,65,NA,NA,NA,3,NA,NA,76,0,16,NA,NA,"6,860","11,410","475,315",,,,,,"36,280,260",600,"21,768,156,000","13,843","1,000","13,843,000",,,NA,,,NA,"139,286,665","13,319,287,302","9,373,113",600,"5,623,867,500","7,634,524",800,"6,107,618,880",,NA,,,NA,"52,243",833,"43,535,917",,NA,"10,770,368",800,"8,616,294,720"
Wajir,2023,0,0,0,37,"749,849",,"2,120,701",32,"2,991,769",,"1,209,342",74,645,,,,,,,,,,,,12,"11,904","19,350","486,719",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Pokot,2021,70,300,0,,,,,,,,,,,,,,,,,,,,,,,,,,"1,402,320","140,232","1,231,769","2,429","36,420","36,814",500,"18,406,800","1,459,213",225,"328,322,970","1,178",300,"353,400","34,758",50,"1,737,900","178,823,916","12,517,674,095","11,677,146",413,"4,816,822,828","1,337,430",533,"712,181,675","22,037","6,611,220","5,570",300,"1,670,870","840,747",650,"546,485,758",NA,NA,"2,592,000",567,"1,468,800,000"
West Pokot,2022,70,300,200,"121,408","509,467","96,235","533,144",884,"681,253","3,434","19,389","70,701","10,715",,,"30,932","17,317","7,839",NA,NA,NA,0,,583,"6,315","2,470","9,272","726,874",,,,,,"76,834",500,"38,416,900","1,490,511",225,"335,365,043",,,NA,,,NA,"147,498,813","10,324,916,910","12,423,508",413,"5,124,697,091","1,394,095",533,"742,355,801","29,425","8,827,560","6,420",300,"1,926,120","944,004",417,"393,335,000","175,181","35,036,240","3,077,108",533,"1,638,560,170"
West Pokot,2023,0,0,0,"132,545","538,879","100,104","555,941","1,753","818,809","3,395","21,343","71,599","11,092",,,"33,488","18,893","8,538",,50,,,,778,"7,279","2,760","11,307","816,161",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
